impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-143833,A657406,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657406,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Winter,Dog,3 YEARS,Spayed Female,Alaskan Husky / Australian Cattle Dog,Tan / Black,"Feb 05, 2022",Received on,200 block of  2ND AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657406,Image Copyright HLP Inc. 2022,"Received on: 2022-02-05<p/> Found Near: 200 block of  2ND AVE N<p/> Description: Tan / Black Spayed Female Alaskan Husky / Australian Cattle Dog Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143933,A657715,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,Gray / White,"Feb 10, 2022",Received on,37600 block of  42ND AVE S,AUBURN,WA,98001,KING COUNTY,,,,Image Copyright HLP Inc. 2022,Received on: 2022-02-10<p/> Found Near: 37600 block of  42ND AVE S<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>,
K22-143366,A656316,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383363,LOST,Ila,Cat,Over 1 year<p/>,Female,Domestic Longhair,Black,"Jan 14, 2022",Date Lost,30200 block of  SE LAKE RETREAT NORTH DR,RAVENSDALE,WA,98051,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383363,Image Copyright HLP Inc. 2022,"Description: Black and white longhaired she is about 6lbs<p/>Age: Over 1 year<p/>Location Lost: 30213 SE Lake Retreat North Dr, Ravensdale WA  98051-7800<p/>Lost Date: 2022-01-14<p/>",
K22-143319,A656185,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382212,LOST,Maxx,Dog,Over 1 year<p/>,Male,Standard Poodle,Unknown,"Jan 16, 2022",Date Lost,116TH  AND 265TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382212,Image Copyright HLP Inc. 2022,"Description: Will be with his brother Kodi. Does not have a collar. Will not come if called<p/>Age: Over 1 year<p/>Location Lost: 116th and 265th, Spanaway WA  98387<p/>Lost Date: 2022-01-16<p/>",
K22-143634,A656976,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656976,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlemagne,Bird,NO AGE,Male,Quail,Brown / White,"Jan 30, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656976,Image Copyright HLP Inc. 2022,"Received on: 2022-01-30<p/> Description: Brown / White<p/>  Male Quail Bird<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Charlemagne is available for adoption.<p/><p/>He was brought in by a good Samaritan on 1/30/22.<p/><p/>King quails are very hardy, active and long-lived birds. On average they can live 3-6 years, but can live up to 13 years in captivity.<p/><p/>King quails are social creatures. It’s important to provide a them natural light, as well as give them plenty of opportunities for exercise, which they can get by jumping and hanging, or flying indoors (or a sheltered aviary). <p/>Theres birds eat a variety of foods including seeds, pellets, grains, beans, fruits, and vegetables. <p/><p/>Quails are sensitive to air pollution, and will need fresh air. <p/><p/>Finally, immediately after adopting a Button Quail find a local veterinarian who can give the Button Quail checkups, and diagnose any major issues.<p/>",
K22-143815,A657368,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392161,LOST,Bella,Dog,Over 1 year<p/>,Female,Siberian Husky,Brown,"Jan 30, 2022",Date Lost,36TH  AND 184TH IN LYNNWOOD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392161,Image Copyright HLP Inc. 2022,"Description: Has a bump on her back leg. Big ears, playful and has a purple collar.  Brown and white siberian husky little over a year.  Small husky about 30 pounds. <p/>Age: Over 1 year<p/>Location Lost: 36th and 184th in Lynnwood, Lynnwood WA  98036<p/>Lost Date: 2022-01-30<p/>",
K22-143914,A657050,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657050,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tangerine,Guinea Pig,NO AGE,Male,Guinea Pig,Black / White,"Feb 09, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657050,Image Copyright HLP Inc. 2022,"Received on: 2022-02-09<p/> Description: Black / White<p/>  Male Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Guinea pigs are intelligent and complex creatures who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. <p/><p/>The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay!<p/><p/>I am a domestic guinea pig and it is recommend that adopters keep me indoors. I stay clean and rarely need baths, so I'd be a perfect pet for a small animal lover!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When guinea pigs get the space and enrichment we need, we often form deep bonds with our humans!<p/><p/>My personality color is BLUE. I am a gentle and loving guinea pig who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K22-144097,A656985,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656985,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Robin,Dog,3 YEARS,Neutered Male,German Shepherd,Black / Tan,"Feb 18, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656985,Image Copyright HLP Inc. 2022,"Received on: 2022-02-18<p/> Description: Black / Tan<p/>  Neutered Male German Shepherd Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hiya there! My name is Robin and I am available for adoption.<p/><p/>I was brought in by my previous owner on February 2, 2022 because they could not provide me the care I needed. I was adopted then returned 2/18/22 because I did not get along with other animals in the home. <p/><p/>I am a pretty laid back guy! My caregivers at RASKC have noticed that I am house-trained and very treat motivated!<p/><p/>I am a little shy at first, but you can win me over quickly with food! Due to my shy nature I would do best in a nice, calm and quiet home.<p/><p/>My caregivers have observed that I do not get along with other dogs. I would do best as the only animal in my new home.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-143940,A657730,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657730,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Arrow,Rat,NO AGE,Male,Rat,Brown / White,"Feb 10, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657730,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Description: Brown / White<p/>  Male Rat Rat<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Arrow and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on February 10th, 2022.<p/><p/>My personality color is BLUE. I am a gentle and loving rat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-143886,A657562,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657562,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mr. Cheeks,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Black,"Feb 08, 2022",Received on,700 block of  110TH AVE NE,BELLEVUE,WA,98004,BELLEVUE,47.61678,-122.19252,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657562,Image Copyright HLP Inc. 2022,"Received on: 2022-02-08<p/> Found Near: 700 block of  110TH AVE NE<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143650,A657002,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389266,LOST,Chiquito,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Black,"Jan 30, 2022",Date Lost,100 block of  6TH ST,KIRKLAND,WA,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389266,Image Copyright HLP Inc. 2022,"Description: 5yr old Male Chihuahua approximately 3 pounds black with a white mustache and white around his eyes very small and Shy he’s used to being around his brothers<p/>Age: Over 1 year<p/>Location Lost: 146th st , Seattle WA  98168<p/>Lost Date: 2022-01-30<p/>",
K22-143695,A657059,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389821,LOST,Enzo,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"Jan 17, 2022",Date Lost,MAY  VALLEY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389821,Image Copyright HLP Inc. 2022,"<p/>Age: Under 1 year<p/>Location Lost: May valley road, Issaquah WA  98027<p/>Lost Date: 2022-01-17<p/>",
K22-143928,A657689,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657689,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Yeti,Barn Cat,3 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,"Feb 10, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://kingcounty.gov/~/media/depts/regional-animal-services/images/All-Images/barn-cat.ashx,Image Copyright HLP Inc. 2022,"Received on: 2022-02-10<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 3 YEARS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Yeti and I am a ""Working Cat"". I am seeking a home where I can put my hunting skills to work! <p/><p/>I was brought into the shelter on February 10th, 2022, by my previous owner because they are moving and could no longer keep feeding me at their property.<p/><p/>I am a cat that has never been socialized with humans so I will avoid you at all cost. Please allow me my space so that I can feel the most comfortable while acclimating to your space. <p/><p/>If you have never had working cats before, please reach out to barncatsrus@gmail.com to get all of the resources you will need to set up before you bring me home.<p/>",
K22-144094,A658220,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658220,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,German Shepherd,Black / Tan,"Feb 18, 2022",Received on,4000 block of  S 152ND ST,TUKWILA,WA,98188,TUKWILA,47.466603,-122.284164,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658220,Image Copyright HLP Inc. 2022,"Received on: 2022-02-18<p/> Found Near: 4000 block of  S 152ND ST<p/> Description: Black / Tan Male German Shepherd Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143687,A657056,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389636,In Public Home,Britany Torr,Dog,Over 1 year<p/>,Male,German Shepherd,Brown,"Jan 31, 2022",Date Found,216TH  AVE SE AND SE 276TH ST // COVINGTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389636,Image Copyright HLP Inc. 2022,"Description: He is an old dog. He has black fur along most of his back, brown fur on the top of his head and top of his legs, and a white face and paws. He looks like a german shepard by his body, but has an almost shiba inu-like face. He is pretty skinny, maybe about 50 pounds.<p/>Age: Over 1 year<p/>Found Near: 216th ave se and se 276th st // covington, Kent WA  98030<p/>Found Date: 2022-01-31<p/>",
K22-143449,A656567,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2385010,LOST,Kane,Dog,Over 1 year<p/>,Male,American Bulldog,Unknown,"Jan 20, 2022",Date Lost,4700 block of  RAVENNA AVE NE,SEATTLE,WA,98105,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2385010,Image Copyright HLP Inc. 2022,"Description: American bulldog grey and white name Kane black collar <p/>Age: Over 1 year<p/>Location Lost: 4753 Ravenna ave ne Seattle wa , Seattle WA  98105<p/>Lost Date: 2022-01-20<p/>",
K22-143873,A657494,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657494,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Whopper,Guinea Pig,3 YEARS,Male,Guinea Pig,White,"Feb 07, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657494,Image Copyright HLP Inc. 2022,"Received on: 2022-02-07<p/> Description: White<p/>  Male Guinea Pig Guinea Pig<p/> Age: 3 YEARS<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Whopper and I am available for adoption.<p/><p/>I was brought in by my previous owner on 02/07/22 because my owner could no longer care for me. <p/><p/>My personality color is BLUE. I am a gentle and loving guinea pig who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K22-143698,A657069,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389861,LOST,Sid,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 29, 2022",Date Lost,38TH  AND HIGHLAND DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389861,Image Copyright HLP Inc. 2022,"Description: Black and white: all black tail, all white underbelly, sideways black teardrop shape on side near tail. Wearing red collar with red and white bow tie. <p/>Age: Over 1 year<p/>Location Lost: 38th and Highland Dr, Seattle WA  98112<p/>Lost Date: 2022-01-29<p/>",
K22-144062,A658146,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658146,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,1 YEAR,Male,Chihuahua - Smooth Coated,White / Brown,"Feb 17, 2022",Received on,4800 block of  S 179TH ST,SEATAC,WA,98188,SEATAC,47.443078,-122.278432,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658146,Image Copyright HLP Inc. 2022,"Received on: 2022-02-17<p/> Found Near: 4800 block of  S 179TH ST<p/> Description: White / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-143392,A656362,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Samoa,Rabbit Sh,1 YEAR,Neutered Male,Rabbit Sh,Sable,"Jan 19, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656362,Image Copyright HLP Inc. 2022,"Received on: 2022-01-19<p/> Description: Sable Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Samoa and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 01/19/22.<p/><p/>My personality color is BLUE. I am a gentle and loving bunny who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>Rabbits are intelligent and complex animals who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay! <p/><p/>I am a domestic rabbit and it is recommend that adopters keep me indoors. The nice thing about having an indoor rabbit is that I can come out of my cage for bunny playtime, in a rabbit proof area of the home. It's during this supervised playtime that rabbits often exhibit some of our most fun and interesting behaviors!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment we need, we often form deep bonds with our humans!<p/><p/>",BLUE
K22-144083,A658190,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2397916,LOST,Mkia,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Feb 16, 2022",Date Lost,26100 block of  120TH PL SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2397916,Image Copyright HLP Inc. 2022,"<p/>Age: Under 1 year<p/>Location Lost: 26102 120th pl se Kent wa , Kent WA  98030<p/>Lost Date: 2022-02-16<p/>",
